epoch,train_loss,val_loss,train_diff,train_phys,train_bin
0,0.5957024206433977,0.48336258141199745,0.4108580410821097,0.362550815650395,0.07137942163433347
1,0.4036351552009583,0.3634463705221812,0.22974554058483668,0.3427580770765032,0.050211558022669384
2,0.3498217480863844,0.37090966693560284,0.184359489270619,0.32658805067198615,0.04336467791029385
3,0.32321958058221,0.3364698187510173,0.16116165450641087,0.3202236798490797,0.038921711138316564
4,0.3123661849498749,0.3132932858467102,0.15312935332741057,0.3147064268248422,0.03767236728327615
5,0.29249088982173377,0.3176751099427541,0.13817732271126337,0.3052012104988098,0.03425924257934093
6,0.2913491452080863,0.29981375455856324,0.1368719059739794,0.3055456006867545,0.03408880103592362
7,0.2862855781827654,0.2885423910617828,0.1324541551726205,0.30437089610099793,0.03291950804846627
8,0.2791056061131614,0.2835860353310903,0.12761359230109623,0.29981444472926005,0.03169583323597908
9,0.2702354582377843,0.28516912937164307,0.1201830221244267,0.29709081275122506,0.030140572156224933
10,0.26139366119248525,0.27346007378896076,0.1140583524789129,0.2917576696872711,0.029129475955452237
11,0.268908340215683,0.2782978807290395,0.11856108914102827,0.2976888919217246,0.030056101939507893
12,0.26121839610167913,0.26339166760444643,0.1127930964912687,0.2939882618188858,0.028623389352645193
13,0.2621771692889077,0.26554696075121564,0.11188645907810756,0.2977141295160566,0.02867290108544486
14,0.2556580161367144,0.26077196232477823,0.10660043190632548,0.2953817295687539,0.027334370153290884
15,0.2497340884889875,0.2708987070719401,0.10257199077946799,0.29169229095322746,0.026319061951977866
16,0.24224036615235464,0.25284949254989625,0.09788604281629835,0.28617785838672094,0.025307883552142554
17,0.23493180143833162,0.2662899986902873,0.09090212638037545,0.28567241021565026,0.023869385093450546
18,0.23541597037655967,0.24237637408574422,0.09134725831661905,0.2857492092677525,0.02388212918809482
19,0.23749992963245936,0.24268764861424763,0.09293587422370911,0.28669293870244705,0.02435173024875777
20,0.22524774782998222,0.22608868384361266,0.0844162050996508,0.2794327414376395,0.022303435977016176
21,0.2184417895419257,0.24038231790065764,0.07922563165426254,0.27630943502698624,0.021228830314108302
22,0.2277021098307201,0.2344116763273875,0.08517029687336514,0.28279487650735036,0.022687523281999997
23,0.22670726820400783,0.23080730525652568,0.08503039288520813,0.2810731472969055,0.022806053034961225
24,0.2197375317301069,0.22753643055756886,0.07896630249704634,0.27943243190220424,0.02110025451864515
25,0.2228212446825845,0.2335268629391988,0.08057563901799066,0.2823550145966666,0.021361961956535065
26,0.21664432518822807,0.22868845907847088,0.07703432357311249,0.2771384982551847,0.020815053337386678
27,0.211910557951246,0.2241993095080058,0.07355225352942943,0.27470733189582824,0.020092774583825045
28,0.21408087602683476,0.23004737599690755,0.0750114879991327,0.27613342578070504,0.020053499807736703
29,0.21597642176491874,0.24001585070292156,0.0755842532813549,0.27871724299022127,0.020670968551720893
30,0.21786255780288152,0.21951115190982817,0.07771346114788737,0.2781813530581338,0.02116836229179587
31,0.20521709777627672,0.2255400625069936,0.06852932539156505,0.27149677995273047,0.01878764788274254
32,0.21293070030212402,0.2226115529537201,0.07469013829742159,0.27446251826626916,0.02018604540931327
33,0.20311820701190403,0.21923363947868346,0.0677328396652426,0.2689201123544148,0.018506225457148893
