sample_idx,lambda_idx,lambda_nm,score,center_score,shape_score,edge_score,bandwidth_score,coef_a,fit_mse,r2
0,0,1000.0,0.03000352904200554,0.0,0.0,0.300035297870636,0.03000352904200554,0.6881943941116333,0.3971225619316101,-5.144204616546631
1,0,1000.0,0.2276351898908615,0.23698070645332336,0.0,0.8544676899909973,0.2276351898908615,1.3144127130508423,0.1817423552274704,-8.134282112121582
2,0,1000.0,0.3892691731452942,0.6123603582382202,0.0,0.21852974593639374,0.3892691731452942,0.509161114692688,0.22782713174819946,-2.5394203662872314
3,0,1000.0,0.08006246387958527,0.0,0.0,0.800624668598175,0.08006246387958527,1.2871593236923218,0.44817298650741577,-63.726078033447266
4,0,1000.0,0.055816322565078735,0.0,0.0,0.5581632256507874,0.055816322565078735,1.0912221670150757,0.47929954528808594,-13.83735466003418
5,0,1000.0,0.06435788422822952,0.0,0.0,0.643578827381134,0.06435788422822952,1.183284044265747,0.4182177186012268,-25.347213745117188
6,0,1000.0,0.09353850036859512,0.0,0.0,0.9353850483894348,0.09353850036859512,1.4269529581069946,0.41853660345077515,-2339.859375
7,0,1000.0,0.2182154357433319,0.28586918115615845,0.0,0.4669392704963684,0.2182154357433319,1.3057985305786133,0.22829791903495789,-14.337733268737793
8,0,1000.0,0.15038083493709564,0.10017989575862885,0.0,0.9027290344238281,0.15038083493709564,1.409543514251709,0.3234982192516327,-91.61505889892578
9,0,1000.0,0.04944019019603729,0.0,0.0,0.4944019019603729,0.04944019019603729,0.71645587682724,0.4037926197052002,-3.685208797454834
10,0,1000.0,0.07759332656860352,0.0,0.0,0.7759332656860352,0.07759332656860352,1.167531967163086,0.20309747755527496,-4.381749153137207
11,0,1000.0,0.37318894267082214,0.5475696325302124,0.0,0.4464714825153351,0.37318894267082214,0.8838797211647034,0.08744081109762192,-0.052513640373945236
12,0,1000.0,0.5647900104522705,0.852283775806427,0.0,0.5341972708702087,0.5647900104522705,1.0341869592666626,0.1239859014749527,-0.01514313742518425
13,0,1000.0,0.1992129683494568,0.18827052414417267,0.0,0.8625064492225647,0.1992129683494568,1.236952781677246,0.21250732243061066,-9.35833740234375
14,0,1000.0,0.05948552489280701,0.0,0.0,0.5948552489280701,0.05948552489280701,1.123640775680542,0.39032790064811707,-25.12778663635254
15,0,1000.0,0.034399379044771194,0.0,0.0,0.34399378299713135,0.034399379044771194,0.8911744356155396,0.25267377495765686,-2.2129523754119873
16,0,1000.0,0.09702599793672562,0.0,0.0,0.970259964466095,0.09702599793672562,1.4381048679351807,0.42424431443214417,-1904.0518798828125
17,0,1000.0,0.06263791024684906,0.0,0.0,0.6263790726661682,0.06263791024684906,1.0684220790863037,0.3193332850933075,-9.915523529052734
18,0,1000.0,0.28562498092651367,0.3548729419708252,0.0,0.7270122170448303,0.28562498092651367,1.2452737092971802,0.21067748963832855,-6.085143566131592
19,0,1000.0,0.1653587520122528,0.1512375771999359,0.0,0.7461620569229126,0.1653587520122528,1.3958206176757812,0.3128831684589386,-70.52608489990234
20,0,1000.0,0.09846718609333038,0.0,0.0,0.9846718907356262,0.09846718609333038,1.391880989074707,0.3770733177661896,-19.380630493164062
21,0,1000.0,0.01611475832760334,0.0,0.0,0.1611475795507431,0.01611475832760334,0.6530817747116089,0.518592119216919,-3.599637508392334
22,0,1000.0,0.3702395558357239,0.5700346231460571,0.0,0.2821877598762512,0.3702395558357239,1.2089135646820068,0.10556883364915848,-0.27085375785827637
23,0,1000.0,0.07927556335926056,0.0,0.0,0.792755663394928,0.07927556335926056,1.2942019701004028,0.41370174288749695,-69.76972961425781
24,0,1000.0,0.09618036448955536,0.0,0.0,0.9618036150932312,0.09618036448955536,1.4408470392227173,0.4103265404701233,-3008.927978515625
25,0,1000.0,0.03758284077048302,0.0,0.0,0.37582841515541077,0.03758284077048302,0.8001915216445923,0.4169754087924957,-7.113171577453613
26,0,1000.0,0.09873788803815842,0.06752148270606995,0.0,0.5822499990463257,0.09873788803815842,1.0451124906539917,0.22262756526470184,-2.3629682064056396
27,0,1000.0,0.0694904774427414,0.0,0.0,0.6949047446250916,0.0694904774427414,1.1760127544403076,0.31712788343429565,-28.280132293701172
28,0,1000.0,0.06086613982915878,0.0,0.0,0.608661413192749,0.06086613982915878,0.9551645517349243,0.45153889060020447,-6.414571762084961
29,0,1000.0,0.10013595968484879,0.001377717824652791,0.0,0.9930933117866516,0.10013595968484879,1.4636582136154175,0.41631120443344116,-163451.15625
30,0,1000.0,0.11891849339008331,0.0713975727558136,0.0,0.7607995271682739,0.11891849339008331,1.1568604707717896,0.23922885954380035,-2.4333064556121826
31,0,1000.0,0.04598628357052803,0.0,0.0,0.4598628580570221,0.04598628357052803,0.9768573045730591,0.3275250494480133,-3.046105146408081
32,0,1000.0,0.12155424803495407,0.06137309968471527,0.0,0.8473038673400879,0.12155424803495407,1.0871245861053467,0.23172852396965027,-1.8094844818115234
33,0,1000.0,0.08971505612134933,0.0,0.0,0.8971505165100098,0.08971505612134933,1.3928484916687012,0.43134501576423645,-271.61993408203125
34,0,1000.0,0.44441142678260803,0.6942800879478455,0.0,0.27843376994132996,0.44441142678260803,1.0373951196670532,0.24879759550094604,-1.1817173957824707
35,0,1000.0,0.04724929854273796,0.0,0.0,0.4724929630756378,0.04724929854273796,0.7751016616821289,0.4098564684391022,-5.634459972381592
36,0,1000.0,0.1414264440536499,0.07874102890491486,0.0,0.9418182373046875,0.1414264440536499,1.446527123451233,0.3672028183937073,-534.0055541992188
37,0,1000.0,0.30626437067985535,0.4617493152618408,0.0,0.29214781522750854,0.30626437067985535,0.9617308378219604,0.25994837284088135,-2.228543758392334
38,0,1000.0,0.0928720235824585,0.0,0.0,0.928720235824585,0.0928720235824585,1.404170036315918,0.4290018081665039,-447.7513732910156
39,0,1000.0,0.05056828260421753,0.0,0.0,0.5056828260421753,0.05056828260421753,1.0342223644256592,0.4624643623828888,-11.61539077758789
40,0,1000.0,0.29053226113319397,0.4360513389110565,0.0,0.2890144884586334,0.29053226113319397,1.0604751110076904,0.09147322177886963,-0.10908250510692596
41,0,1000.0,0.058807458728551865,0.0025614481419324875,0.0,0.5727059245109558,0.058807458728551865,1.2088055610656738,0.2708350121974945,-2.3616528511047363
42,0,1000.0,0.5184519290924072,0.6031114459037781,0.3061065077781677,0.6475309133529663,0.5184519290924072,1.000484824180603,0.0655188113451004,0.3061065077781677
43,0,1000.0,0.07461076974868774,0.0,0.0,0.7461076974868774,0.07461076974868774,1.0794957876205444,0.4063470661640167,-5.383966445922852
44,0,1000.0,0.03494099900126457,0.0,0.0,0.34940996766090393,0.03494099900126457,0.8841769695281982,0.4511784613132477,-5.893357753753662
45,0,1000.0,0.03549772873520851,0.0,0.0,0.3549772799015045,0.03549772873520851,0.7264305949211121,0.4070962071418762,-5.738617420196533
46,0,1000.0,0.1559973657131195,0.12123463302850723,0.0,0.8325659036636353,0.1559973657131195,1.2820740938186646,0.25814375281333923,-45.63316345214844
47,0,1000.0,0.46510428190231323,0.6891653537750244,0.0,0.5160507559776306,0.46510428190231323,0.8196312785148621,0.14135165512561798,-0.32019108533859253
48,0,1000.0,0.05861523747444153,0.0,0.0,0.5861523747444153,0.05861523747444153,1.0908446311950684,0.3474927842617035,-7.811133861541748
49,0,1000.0,0.03550291806459427,0.0,0.0,0.3550291657447815,0.03550291806459427,0.8683861494064331,0.3874270021915436,-5.496886253356934
50,0,1000.0,0.04651999473571777,0.0,0.0,0.46519994735717773,0.04651999473571777,0.834283709526062,0.503902018070221,-2.469541311264038
51,0,1000.0,0.16145236790180206,0.20723365247249603,0.0,0.37112176418304443,0.16145236790180206,0.9757249355316162,0.28060635924339294,-8.825763702392578
52,0,1000.0,0.08924628794193268,0.0,0.0,0.8924629092216492,0.08924628794193268,1.3557571172714233,0.41105887293815613,-366.0241394042969
53,0,1000.0,0.05311160534620285,0.0,0.0,0.5311160683631897,0.05311160534620285,0.8468018174171448,0.46823418140411377,-4.333553314208984
54,0,1000.0,0.08457393199205399,0.0,0.0,0.8457393050193787,0.08457393199205399,1.3743735551834106,0.41583630442619324,-232.1625213623047
55,0,1000.0,0.09235581010580063,0.0,0.0,0.9235580563545227,0.09235581010580063,1.4053748846054077,0.417462021112442,-438.48126220703125
56,0,1000.0,0.023555457592010498,0.0,0.0,0.23555457592010498,0.023555457592010498,0.8817203044891357,0.3780410885810852,-3.4058170318603516
57,0,1000.0,0.11678506433963776,0.05342470109462738,0.0,0.8473024368286133,0.11678506433963776,1.4258270263671875,0.36947810649871826,-568.61083984375
58,0,1000.0,0.04487060010433197,0.0,0.0,0.4487060010433197,0.04487060010433197,0.6308494210243225,0.3317805528640747,-2.673449754714966
59,0,1000.0,0.03502817451953888,0.0,0.0,0.3502817153930664,0.03502817451953888,0.9482188820838928,0.5016221404075623,-6.289502143859863
60,0,1000.0,0.1004396453499794,0.02868126891553402,0.0,0.832308828830719,0.1004396453499794,1.4211009740829468,0.3930441439151764,-1032.6939697265625
61,0,1000.0,0.06920810788869858,0.0,0.0,0.692081093788147,0.06920810788869858,1.175902247428894,0.4169791638851166,-8.384770393371582
62,0,1000.0,0.08502773940563202,0.0,0.0,0.8502773642539978,0.08502773940563202,1.2326555252075195,0.40254276990890503,-27.74408531188965
63,0,1000.0,0.5008739829063416,0.6927011013031006,0.0,0.8525329828262329,0.5008739829063416,1.3051100969314575,0.10483517497777939,-0.5665451884269714
64,0,1000.0,0.07871713489294052,0.0,0.0,0.7871713638305664,0.07871713489294052,1.1954063177108765,0.3778231739997864,-11.042038917541504
65,0,1000.0,0.07906215637922287,0.0,0.0,0.7906215786933899,0.07906215637922287,1.3113456964492798,0.44616493582725525,-56.872520446777344
66,0,1000.0,0.33762314915657043,0.45807233452796936,0.0,0.6277973651885986,0.33762314915657043,0.9938234090805054,0.13517020642757416,-0.8409920334815979
67,0,1000.0,0.07134920358657837,0.0,0.0,0.7134920954704285,0.07134920358657837,1.2680939435958862,0.3580772578716278,-76.55472564697266
68,0,1000.0,0.08733876794576645,0.0,0.0,0.8733876347541809,0.08733876794576645,1.3731014728546143,0.38815948367118835,-509.7640075683594
69,0,1000.0,0.05441185086965561,0.0,0.0,0.5441185235977173,0.05441185086965561,1.0198620557785034,0.18758046627044678,-1.4249898195266724
70,0,1000.0,0.09031771868467331,0.044246524572372437,0.0,0.6376979947090149,0.09031771868467331,1.1688870191574097,0.22839553654193878,-6.618278980255127
71,0,1000.0,0.028271105140447617,0.0,0.0,0.28271105885505676,0.028271105140447617,0.8173941969871521,0.5103029608726501,-5.353880882263184
72,0,1000.0,0.015597863122820854,0.0,0.0,0.15597862005233765,0.015597863122820854,0.5683107376098633,0.4655947983264923,-3.037933588027954
73,0,1000.0,0.07039698958396912,0.0,0.0,0.7039698958396912,0.07039698958396912,1.1967039108276367,0.38666361570358276,-22.846887588500977
74,0,1000.0,0.09321670234203339,0.0,0.0,0.9321670532226562,0.09321670234203339,1.4157559871673584,0.4115002453327179,-820.6597290039062
75,0,1000.0,0.10571658611297607,0.009527643211185932,0.0,1.0,0.10571658611297607,1.4621630907058716,0.4111466705799103,-36697.625
76,0,1000.0,0.09500712901353836,0.0,0.0,0.9500712752342224,0.09500712901353836,1.371281385421753,0.38467738032341003,-33.549808502197266
77,0,1000.0,0.20381933450698853,0.19173498451709747,0.0,0.887783408164978,0.20381933450698853,1.408402919769287,0.2860323488712311,-59.56706237792969
78,0,1000.0,0.22519616782665253,0.2745317220687866,0.0,0.6047713160514832,0.22519616782665253,1.0177371501922607,0.1590270847082138,-0.845129668712616
79,0,1000.0,0.10513525456190109,0.008558760397136211,0.0,1.0,0.10513525456190109,1.462112307548523,0.41116461157798767,-38966.265625
80,0,1000.0,0.02533658593893051,0.0,0.0,0.2533658444881439,0.02533658593893051,0.5302845239639282,0.33832377195358276,-3.3504905700683594
81,0,1000.0,0.10277041792869568,0.004617363214492798,0.0,1.0,0.10277041792869568,1.4644672870635986,0.41475242376327515,-95093.3125
82,0,1000.0,0.03249991685152054,0.0,0.0,0.3249991834163666,0.03249991685152054,0.588050127029419,0.28022560477256775,-1.7438700199127197
83,0,1000.0,0.07274845987558365,0.0,0.0,0.7274845838546753,0.07274845987558365,1.2240209579467773,0.40197399258613586,-34.940406799316406
84,0,1000.0,0.09470115602016449,0.0,0.0,0.9470115900039673,0.09470115602016449,1.426849603652954,0.4227328300476074,-1028.713134765625
85,0,1000.0,0.08770100027322769,0.0,0.0,0.8770100474357605,0.08770100027322769,1.2837738990783691,0.43142932653427124,-47.282840728759766
86,0,1000.0,0.07473016530275345,0.0,0.0,0.7473016381263733,0.07473016530275345,1.0677107572555542,0.34530940651893616,-6.484005928039551
87,0,1000.0,0.3307651877403259,0.4319036900997162,0.0,0.7162299156188965,0.3307651877403259,0.9936966896057129,0.07900815457105637,-0.5223984718322754
88,0,1000.0,0.22785821557044983,0.23724479973316193,0.0,0.8551132678985596,0.22785821557044983,1.3982096910476685,0.2843569815158844,-34.5318717956543
89,0,1000.0,0.6049032807350159,0.8799046277999878,0.0,0.7696050405502319,0.6049032807350159,1.3221203088760376,0.3473982810974121,-7.709567070007324
90,0,1000.0,0.08039451390504837,0.0,0.0,0.8039451241493225,0.08039451390504837,1.3030582666397095,0.42864009737968445,-53.86698913574219
91,0,1000.0,0.014134709723293781,0.0,0.0,0.14134709537029266,0.014134709723293781,0.5383874177932739,0.4204065203666687,-3.0956003665924072
92,0,1000.0,0.07733269035816193,0.0,0.0,0.7733269333839417,0.07733269035816193,1.2439188957214355,0.3033788502216339,-5.524333477020264
93,0,1000.0,0.2390390783548355,0.2562340795993805,0.0,0.8529863357543945,0.2390390783548355,1.1856154203414917,0.26663535833358765,-5.912539958953857
94,0,1000.0,0.46485477685928345,0.7247126698493958,0.0,0.3002719283103943,0.46485477685928345,0.7597571015357971,0.23028920590877533,-1.543103575706482
95,0,1000.0,0.13843226432800293,0.07641831040382385,0.0,0.9258127212524414,0.13843226432800293,1.4250257015228271,0.3970058262348175,-380.5536193847656
96,0,1000.0,0.1096046045422554,0.017501892521977425,0.0,0.9910346865653992,0.1096046045422554,1.4557054042816162,0.40192079544067383,-9180.9443359375
97,0,1000.0,0.4497602581977844,0.6525804400444031,0.0,0.5821198225021362,0.4497602581977844,1.0865603685379028,0.309161514043808,-4.707551002502441
98,0,1000.0,0.07400819659233093,0.0,0.0,0.7400819659233093,0.07400819659233093,1.1619199514389038,0.3750269114971161,-44.60304260253906
99,0,1000.0,0.15969741344451904,0.12603257596492767,0.0,0.8407787680625916,0.15969741344451904,1.2627249956130981,0.19936655461788177,-4.315408706665039
100,0,1000.0,0.5853017568588257,0.5687955021858215,0.5441741943359375,0.8077217936515808,0.5853017568588257,1.0638391971588135,0.03764588013291359,0.5441741943359375
101,0,1000.0,0.07971581071615219,0.03828610107302666,0.0,0.567441463470459,0.07971581071615219,1.1498754024505615,0.2212200164794922,-6.037715435028076
102,0,1000.0,0.07425961643457413,0.0,0.0,0.7425961494445801,0.07425961643457413,1.2651803493499756,0.31823208928108215,-30.339494705200195
103,0,1000.0,0.07963356375694275,0.0,0.0,0.7963356375694275,0.07963356375694275,1.1168543100357056,0.277260959148407,-6.605336666107178
104,0,1000.0,0.09526976197957993,0.0,0.0,0.9526975750923157,0.09526976197957993,1.2053523063659668,0.4645515978336334,-5.535839080810547
105,0,1000.0,0.0659833773970604,0.0,0.0,0.6598337888717651,0.0659833773970604,1.125331163406372,0.4362986981868744,-12.667373657226562
106,0,1000.0,0.2891480028629303,0.41274648904800415,0.0,0.4150010943412781,0.2891480028629303,0.7699108123779297,0.16557325422763824,-0.9419156908988953
107,0,1000.0,0.1059054508805275,0.011213328689336777,0.0,0.9917745590209961,0.1059054508805275,1.46170973777771,0.40946662425994873,-23591.2734375
108,0,1000.0,0.5503865480422974,0.5976648330688477,0.4545527994632721,0.5542179346084595,0.5503865480422974,0.9686961770057678,0.05047961324453354,0.4545527994632721
109,0,1000.0,0.10212093591690063,0.003906987141817808,0.0,0.9977673888206482,0.10212093591690063,1.4614588022232056,0.4125193655490875,-74466.296875
110,0,1000.0,0.05325065180659294,0.0,0.0,0.53250652551651,0.05325065180659294,1.02530837059021,0.47355562448501587,-9.558833122253418
111,0,1000.0,0.08610064536333084,0.0,0.0,0.8610064387321472,0.08610064536333084,1.3813958168029785,0.3467343747615814,-41.699623107910156
112,0,1000.0,0.13706961274147034,0.12424713373184204,0.0,0.6252133846282959,0.13706961274147034,0.9631723165512085,0.1323697715997696,-1.0408368110656738
113,0,1000.0,0.0914405956864357,0.07174897193908691,0.0,0.48391208052635193,0.0914405956864357,0.825198233127594,0.28978583216667175,-5.8570756912231445
114,0,1000.0,0.3834506869316101,0.5284768342971802,0.0,0.6636457443237305,0.3834506869316101,1.1128288507461548,0.15852230787277222,-0.5270211696624756
115,0,1000.0,0.04711122065782547,0.0,0.0,0.4711121916770935,0.04711122065782547,0.8949748277664185,0.4168817102909088,-7.3740997314453125
116,0,1000.0,0.04912963882088661,0.0,0.0,0.4912963807582855,0.04912963882088661,0.8480913043022156,0.3629392385482788,-10.414440155029297
117,0,1000.0,0.2218882143497467,0.2917366027832031,0.0,0.4684625267982483,0.2218882143497467,1.0672327280044556,0.12780556082725525,-0.37834930419921875
118,0,1000.0,0.14530755579471588,0.08798781037330627,0.0,0.9251487255096436,0.14530755579471588,1.445694923400879,0.33261638879776,-45.61103057861328
119,0,1000.0,0.16103753447532654,0.16475029289722443,0.0,0.6218735575675964,0.16103753447532654,1.1766424179077148,0.3140416443347931,-2.624185562133789
120,0,1000.0,0.07917327433824539,0.0,0.0,0.7917327284812927,0.07917327433824539,1.2967438697814941,0.3264167606830597,-27.47918701171875
121,0,1000.0,0.04437663406133652,0.0,0.0,0.443766325712204,0.04437663406133652,1.0004773139953613,0.2969335913658142,-3.661287307739258
122,0,1000.0,0.4042554199695587,0.5324737429618835,0.0,0.8477115631103516,0.4042554199695587,1.2308350801467896,0.2334953248500824,-0.9224027991294861
